episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.4080821159999992,True,False
2,460.0,702,1087,0.2,0.02597915851087733,4.694690978999997,True,False
3,430.0,506,1593,0.2,0.027946306844920242,10.350723468999998,True,False
4,380.0,514,2107,0.2,0.026282197772388827,15.305674266999997,True,False
5,180.0,443,2550,0.2,0.028158931765361345,23.742665618999997,True,False
6,200.0,362,2912,0.2,0.026099939520693394,30.085991363,True,False
7,710.0,836,3748,0.2,0.027554574048783826,39.48096636299999,True,False
8,550.0,603,4351,0.2,0.02854401373459647,46.07449126799999,True,False
9,840.0,719,5070,0.2,0.028999028616170916,52.887172542,True,False
10,170.0,342,5412,0.2,0.02803779705590027,55.89141866499999,True,False
11,900.0,769,6181,0.2,0.03412261981975462,62.31797278799999,True,False
12,520.0,493,6674,0.2,0.036277360557313496,66.39591307299999,True,False
13,770.0,876,7550,0.2,0.03519397735921028,73.90456136099999,True,False
14,840.0,962,8512,0.2,0.033947691272343296,81.64172678999999,True,False
15,1210.0,840,9352,0.2,0.03542092162505945,88.941646587,True,False
16,1260.0,1045,10397,0.2,0.0359746851053774,98.10800863899999,True,False
17,1180.0,830,11227,0.2,0.03756219384953344,106.479334729,True,False
18,910.0,764,11991,0.2,0.03518330688705346,112.92797137199999,True,False
19,940.0,875,12866,0.2,0.037247336057087056,121.22743926399998,True,False
20,480.0,599,13465,0.2,0.03957360297751923,126.37363426199998,True,False
21,360.0,551,14016,0.2,0.03829265745235202,131.58965203300002,True,False
22,300.0,447,14463,0.2,0.04057431378326303,137.213487554,True,False
23,720.0,617,15080,0.2,0.03919954509023697,142.64650326,True,False
24,790.0,776,15856,0.2,0.042466816644798774,149.808128595,True,False
25,440.0,490,16346,0.2,0.04373366705172497,154.161707008,True,False
26,530.0,603,16949,0.2,0.0401714129746577,160.792197554,True,False
27,310.0,424,17373,0.2,0.043377387480160116,164.59400801700002,True,False
28,190.0,396,17769,0.2,0.039768998304175004,168.976526909,True,False
29,430.0,466,18235,0.2,0.039810681964495574,173.057639775,True,False
30,420.0,467,18702,0.2,0.04782062563169588,177.07486218300002,True,False
31,480.0,484,19186,0.2,0.0457137494448049,181.075277545,True,False
32,1350.0,733,19919,0.2,0.044429301167202125,186.95053579,True,False
33,350.0,502,20421,0.2,0.046455931097697765,191.1922326,True,False
34,340.0,501,20922,0.2,0.04920691728591919,196.601809694,True,False
35,500.0,498,21420,0.2,0.056396150421351196,200.67728106500002,True,False
