episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.2828745380000015,True,False
2,460.0,702,1087,0.2,0.02597915851087733,1.5088973710000033,True,False
3,430.0,506,1593,0.2,0.027946306844920242,6.0282136440000045,True,False
4,380.0,514,2107,0.2,0.026282197772388827,9.533966106999998,True,False
5,180.0,443,2550,0.2,0.028158931765361345,13.860809915000004,True,False
6,200.0,362,2912,0.2,0.026099939520693394,16.85873821300001,True,False
7,710.0,836,3748,0.2,0.027554574048783826,24.123112671,True,False
8,550.0,603,4351,0.2,0.02854401373459647,32.70007469800001,True,False
9,840.0,719,5070,0.2,0.028999028616170916,38.739919259000004,True,False
10,170.0,342,5412,0.2,0.02803779705590027,41.126087606,True,False
11,900.0,769,6181,0.2,0.03412261981975462,48.589971488,True,False
12,520.0,493,6674,0.2,0.036277360557313496,54.055480442000004,True,False
13,770.0,876,7550,0.2,0.03519397735921028,63.430327789,True,False
14,840.0,962,8512,0.2,0.033947691272343296,72.04545015000001,True,False
15,1210.0,840,9352,0.2,0.03542092162505945,79.342800545,True,False
16,1260.0,1045,10397,0.2,0.0359746851053774,88.36386786999999,True,False
17,1180.0,830,11227,0.2,0.03756219384953344,94.72717216400001,True,False
18,910.0,764,11991,0.2,0.03518330688705346,100.576875975,True,False
19,940.0,875,12866,0.2,0.037247336057087056,107.03368439500001,True,False
20,480.0,599,13465,0.2,0.03957360297751923,111.74172535500001,True,False
21,360.0,551,14016,0.2,0.03829265745235202,115.971306224,True,False
22,300.0,447,14463,0.2,0.04057431378326303,119.37685378300002,True,False
23,720.0,617,15080,0.2,0.03919954509023697,124.194488338,True,False
24,790.0,776,15856,0.2,0.042466816644798774,130.215746041,True,False
25,440.0,490,16346,0.2,0.04373366705172497,134.051066869,True,False
